country,technology,Year,wacc,ISO,inflation,gdp,unemployment,population,is_solar,is_wind_onshore,is_wind_offshore,GDP_PPP
Republic of Poland,wind onshore,2013,0.0935,POL,0.270975789944856,11628.2286809525,10.293,38040196.0,0,1,0,1109580182039.64
Republic of Poland,wind onshore,2015,0.08,POL,1.32071091723995,12637.5220324406,7.475,37986412.0,0,1,0,1204183248380.19
Republic of Poland,solar pv,2015,0.08,POL,1.32071091723995,12637.5220324406,7.475,37986412.0,1,0,0,1204183248380.19
Republic of Poland,solar pv,2020,0.0547,POL,4.23859434856777,14937.5960275482,3.155,37899070.0,1,0,0,1420076185854.11
Republic of Poland,wind onshore,2020,0.0577,POL,4.23859434856777,14937.5960275482,3.155,37899070.0,0,1,0,1420076185854.11
Portuguese Republic,wind onshore,2014,0.08,PRT,0.724456717260622,18836.8967511808,13.897,10401062.0,0,1,0,365050334306.943
Portuguese Republic,solar pv,2019,0.0516666666666666,PRT,1.83436786237921,21569.1874470753,6.464,10286263.0,1,0,0,413387287337.652
Portuguese Republic,wind onshore,2018,0.0527333333333333,PRT,1.8523724616237,20997.7744915886,6.994,10283822.0,0,1,0,402340291448.26
Portuguese Republic,solar pv,2018,0.0527333333333333,PRT,1.8523724616237,20997.7744915886,6.994,10283822.0,1,0,0,402340291448.26
Portuguese Republic,wind onshore,2019,0.0516666666666666,PRT,1.83436786237921,21569.1874470753,6.464,10286263.0,0,1,0,413387287337.652
Portuguese Republic,wind onshore,2013,0.08,PRT,2.27438689186236,18597.721407072,16.188,10457295.0,0,1,0,362363800001.251
Portuguese Republic,wind onshore,2015,0.0725,PRT,1.96244673853694,19215.7813014347,12.447,10358076.0,0,1,0,370853898275.519
Portuguese Republic,solar pv,2015,0.065,PRT,1.96244673853694,19215.7813014347,12.447,10358076.0,1,0,0,370853898275.519
Portuguese Republic,solar pv,2020,0.1003,PRT,2.10314342298463,19778.7138255776,6.801,10297081.0,1,0,0,379470381418.221
Romania,wind onshore,2014,0.111,ROU,1.71417093292732,8661.47397274241,6.802,19908979.0,0,1,0,560532075417.638
Romania,solar pv,2018,0.075,ROU,6.18674870152643,10788.015091463,4.187,19473970.0,1,0,0,682897807060.713
Romania,solar pv,2019,0.0775,ROU,6.94651343516345,11270.4758020159,3.912,19371648.0,1,0,0,709689689855.075
Romania,wind onshore,2018,0.0775,ROU,6.18674870152643,10788.015091463,4.187,19473970.0,0,1,0,682897807060.713
Romania,wind onshore,2019,0.0775,ROU,6.94651343516345,11270.4758020159,3.912,19371648.0,0,1,0,709689689855.075
Romania,wind onshore,2013,0.111,ROU,1.39458661535372,8287.95844089676,7.096,19983693.0,0,1,0,538372651211.108
Romania,wind onshore,2015,0.0734,ROU,3.26453494332559,8977.01748158196,6.812,19815616.0,0,1,0,578228275134.968
Romania,solar pv,2015,0.0734,ROU,3.26453494332559,8977.01748158196,6.812,19815616.0,1,0,0,578228275134.968
Romania,solar pv,2020,0.07175,ROU,4.11051645013276,10916.3126056493,5.035,19265250.0,1,0,0,683612962538.037
United Arab Emirates,solar pv,2023,0.066465,ARE,-1.30420016236501,42507.787339453,2.151,10483751.0,1,0,0,718949859487.682
United Arab Emirates,solar pv,2017,0.0535,ARE,4.98621314114183,42690.2147775401,2.462,9223225.0,1,0,0,635220564855.955
Republic of Ghana,solar pv,2023,0.204075,GHA,33.0798250532954,2086.80608066,3.063,33787914.0,1,0,0,229638666150.089
Republic of South Africa,solar pv,2021,0.1025,ZAF,6.53869058287115,5756.19549409213,34.007,61502603.0,1,0,0,
Republic of Singapore,solar pv,2020,0.0546,SGP,-2.43859056928547,59144.3539186758,4.1,5685807.0,1,0,0,655597140120.973
Slovak Republic,wind onshore,2014,0.081,SVK,-0.132601652541283,15647.6491148855,11.536,5418649.0,0,1,0,172793983869.009
Slovak Republic,solar pv,2018,0.055,SVK,2.10864784120307,17869.0149419565,6.544,5446771.0,1,0,0,198348183431.527
Slovak Republic,solar pv,2019,0.055,SVK,2.40120775491499,18250.9802872053,5.761,5454147.0,1,0,0,202862388114.971
Slovak Republic,wind onshore,2013,0.081,SVK,0.534061780956677,15249.8825237603,14.226,5413393.0,0,1,0,168238177103.094
